id,content,url,title,objectkey
1,"<DIV class=""modal-dialog""><DIV class=""modal-content border border-secondary rounded""><DIV class=""modal-header""><H5 class=""modal-title"" id=""exampleModalLabel"">Welcome and Overview</H5><BUTTON aria-label=""Close"" class=""btn-close"" data-bs-dismiss=""modal"" type=""button""/></DIV><DIV class=""modal-body""><P>In this module, you will learn about the features, benefits and key capabilities of the Kofax RPA solution.</P><P> </P><P><STRONG>Module Objectives:</STRONG></P><UL><LI>List and describe the features and benefits of Kofax RPA as it relates to creating and administering robots.</LI><LI>Explain how Kofax RPA fits into the Kofax Intelligent Automation Platform.</LI><LI>List and locate technical resources, training, and support for Kofax RPA.</LI></UL><P><STRONG>Prerequisites:</STRONG></P><UL><LI>None</LI></UL><P> </P><P><STRONG>Lessons:</STRONG></P><UL><LI><STRONG>Welcome to Kofax RPA Getting Started Training</STRONG><BR/>This lesson will introduce you to modules, overview and objectives of the getting started course.</LI><LI><STRONG>What is Kofax RPA?<BR/></STRONG>This lesson will cover Kofax RPA (robotic process automation) and explain the details about the fastest and most efficient way for you to acquire, enhance and deliver information from virtually any application or data source—including websites, portals, desktop applications and enterprise systems—without any coding. </LI></UL><P><SPAN><STRONG/></SPAN></P><P><SPAN><STRONG>Product Version(s):</STRONG> 11.0</SPAN></P></DIV><DIV class=""modal-footer""><BUTTON class=""btn btn-secondary"" data-bs-dismiss=""modal"" type=""button"">Close</BUTTON></DIV></DIV></DIV>",,Welcome and Overview,803c6f9f5b07ff7765244aeebcdafd1625f8989
2,"<DIV class=""modal-dialog""><DIV class=""modal-content border border-secondary rounded""><DIV class=""modal-header""><H5 class=""modal-title"" id=""exampleModalLabel"">Importing a Project into Design Studio</H5><BUTTON aria-label=""Close"" class=""btn-close"" data-bs-dismiss=""modal"" type=""button""/></DIV><DIV class=""modal-body""><P>In this module, we will take a look at how to import a project into Design Studio.</P><P/><P><STRONG><SPAN>Module Objectives:</SPAN></STRONG></P><UL><LI><SPAN>Define a library and project</SPAN></LI><LI><SPAN>Import a project to Design Studio</SPAN></LI></UL><P><SPAN><STRONG>Module Prerequisites:</STRONG></SPAN></P><UL><LI><SPAN>An understanding of Design Studio.</SPAN></LI><LI><SPAN>Completed Kofax RPA - Getting Started</SPAN></LI><LI><SPAN>To complete exercises have access to Kofax RPA Design Studio</SPAN></LI></UL><P><SPAN><STRONG>Lessons:</STRONG></SPAN></P><UL><LI><STRONG><SPAN>Project - Overview</SPAN><SPAN><BR/></SPAN></STRONG><SPAN>In this lesson, you will learn about the Try step and look at how it can be implemented in a Web Automation workflow.</SPAN></LI><LI><SPAN><STRONG>Your Turn<BR/></STRONG>In this lesson, you will practice working with the Try step.</SPAN></LI></UL><P><SPAN/></P><P><SPAN><STRONG>Product Version(s):</STRONG> 11.0</SPAN></P><P/></DIV><DIV class=""modal-footer""><BUTTON class=""btn btn-secondary"" data-bs-dismiss=""modal"" type=""button"">Close</BUTTON></DIV></DIV></DIV>",,Importing a Project into Design Studio,cc42b3dd6c682e48a660b716a48a8178438fd
3,"<DIV class=""modal-dialog""><DIV class=""modal-content border border-secondary rounded""><DIV class=""modal-header""><H5 class=""modal-title"" id=""exampleModalLabel"">Architecture and Components</H5><BUTTON aria-label=""Close"" class=""btn-close"" data-bs-dismiss=""modal"" type=""button""/></DIV><DIV class=""modal-body""><P>Whatever your involvement with Kofax RPA it is important to understand, some of the basic fundamentals.  In this module, you will learn the Kofax RPA architecture, its key components, and the licensing structure. </P><P/><P><STRONG><SPAN>Module Objectives:</SPAN></STRONG></P><UL><LI>Describe the Kofax RPA Architecture</LI><LI>Identify the Kofax RPA Components</LI><LI>Explain the Kofax RPA licensing structure</LI></UL><P><STRONG><SPAN>Prerequisites:</SPAN></STRONG></P><UL><LI>None</LI></UL><P/><P><SPAN><STRONG>Lesson:</STRONG></SPAN></P><UL><LI><STRONG><SPAN>Kofax RPA Architecture and Components</SPAN></STRONG><SPAN><BR/>This lesson will provide an overview of the architecture and components in Kofax RPA. </SPAN></LI></UL><P><SPAN><STRONG/></SPAN></P><P><SPAN><STRONG>Product Version(s):</STRONG> 11.0</SPAN></P></DIV><DIV class=""modal-footer""><BUTTON class=""btn btn-secondary"" data-bs-dismiss=""modal"" type=""button"">Close</BUTTON></DIV></DIV></DIV>",,Architecture and Components,882e9702c8917e9d767aa2d174067f2511fdbb
4,"<DIV class=""modal-dialog""><DIV class=""modal-content border border-secondary rounded""><DIV class=""modal-header""><H5 class=""modal-title"" id=""exampleModalLabel"">Software Installation (Optional)</H5><BUTTON aria-label=""Close"" class=""btn-close"" data-bs-dismiss=""modal"" type=""button""/></DIV><DIV class=""modal-body""><P>To help in your understanding of Kofax RPA we encourage you to follow along and do as we do in the demonstrations, to do this you will need access to Kofax RPA software. If you do not have access to the Kofax RPA software yet, then we will show you in this module how to register and download a trial version. You will then be able to follow along with demonstrations in future modules, helping you to understand Kofax RPA software.</P><P><STRONG>Module Objectives:</STRONG></P><UL><LI>Install the Kofax RPA Trial version on a single computer</LI></UL><P><STRONG>Prerequisites:</STRONG></P><UL><LI>None</LI></UL><P> <STRONG>Lesson: </STRONG></P><UL><LI><STRONG>Installing and Licensing Kofax RPA on a Single PC</STRONG><STRONG><BR/></STRONG>This lesson will cover the installation and licensing process when installing the trial version of Kofax RPA. </LI></UL><P><STRONG>Product Version(s):</STRONG> 11.0</P></DIV><DIV class=""modal-footer""><BUTTON class=""btn btn-secondary"" data-bs-dismiss=""modal"" type=""button"">Close</BUTTON></DIV></DIV></DIV>",,Software Installation (Optional),79cbd0ab5578f9a2184ec7ba55c4f387fedc1a
5,"<DIV class=""modal-dialog""><DIV class=""modal-content border border-secondary rounded""><DIV class=""modal-header""><H5 class=""modal-title"" id=""exampleModalLabel"">Exploring Components and Robots</H5><BUTTON aria-label=""Close"" class=""btn-close"" data-bs-dismiss=""modal"" type=""button""/></DIV><DIV class=""modal-body""><P>This module will cover an overview of the primary components of Kofax RPA along with robot basics including how to access existing robot examples.</P><P/><P><STRONG><SPAN>Module Objectives:</SPAN></STRONG></P><UL><LI>Navigate Design Studio.</LI><LI>Navigate the Management Console and its components.</LI><LI>Explain the structure of Kofax RPA robots.</LI></UL><P><STRONG><SPAN>Prerequisites:</SPAN></STRONG></P><UL><LI>None</LI></UL><P/><P><SPAN><STRONG>Lessons:</STRONG></SPAN></P><UL><LI><SPAN><STRONG>Kofax RPA Design Studio and Management Console</STRONG><BR/>This lesson will cover the Design Studio and Management Console components of Kofax RPA.<BR/></SPAN></LI><LI><STRONG><SPAN>Kofax RPA Robots</SPAN><BR/></STRONG><SPAN>This lesson will cover robot basics including how to access existing robot examples in Kofax RPA.</SPAN></LI></UL><P><SPAN/></P><P><SPAN><STRONG>Product Version(s):</STRONG> 11.0</SPAN></P></DIV><DIV class=""modal-footer""><BUTTON class=""btn btn-secondary"" data-bs-dismiss=""modal"" type=""button"">Close</BUTTON></DIV></DIV></DIV>",,Exploring Components and Robots,1dbabb6c8b9b5629e4c3db85702a64b150755c
6,"<DIV class=""modal-dialog""><DIV class=""modal-content border border-secondary rounded""><DIV class=""modal-header""><H5 class=""modal-title"" id=""exampleModalLabel"">Building Your First Robot</H5><BUTTON aria-label=""Close"" class=""btn-close"" data-bs-dismiss=""modal"" type=""button""/></DIV><DIV class=""modal-body""><P>In this module, you will be introduced to the various components of a robot and how to build a basic robot to pull information from a website.</P><P> </P><P><STRONG>Module Objectives:</STRONG></P><UL><LI>Create a project in Design Studio.</LI><LI>Configure a Web Automation robot to open a web page.</LI><LI>Add Types and Variables to a Web Automation workflow.</LI><LI>Configure a Web Automation workflow to extract information from a web page.</LI></UL><P><STRONG>Lessons:</STRONG></P><UL><LI><STRONG>Creating a Project</STRONG><BR/>In this lesson, we will take a look at how to create a Kofax RPA Project. A Project is the first building block of creating any robot. </LI><LI><STRONG>Creating a Robot</STRONG><BR/>In this lesson, you will learn how to create a Web Automation robot using Kofax RPA Design Studio.</LI><LI><STRONG>Creating Types and Adding Variables</STRONG><BR/>In this lesson, you will explore and create Types and Variables in Design Studio.</LI><LI><STRONG>Adding Steps to a Robot</STRONG><BR/>In this lesson, you will configure robot steps to extract specific information from a website.</LI></UL><P> </P><P><STRONG>Product Version(s):</STRONG> 11.0</P></DIV><DIV class=""modal-footer""><BUTTON class=""btn btn-secondary"" data-bs-dismiss=""modal"" type=""button"">Close</BUTTON></DIV></DIV></DIV>",,Building Your First Robot,433225f08cdbccd382a2e138a64489f9df9848
7,"<DIV class=""modal-dialog""><DIV class=""modal-content border border-secondary rounded""><DIV class=""modal-header""><H5 class=""modal-title"" id=""exampleModalLabel"">Web Automation Robot Design</H5><BUTTON aria-label=""Close"" class=""btn-close"" data-bs-dismiss=""modal"" type=""button""/></DIV><DIV class=""modal-body""><P>This module introduces you to the basic concepts of Robotic Process Automation, and how you can prepare for the advantages it can bring to you and your organization. We will look at how your organization can plan, prepare and design your workflows.</P><P>You can follow lessons in this module in a linear way, progressively building your knowledge and robot building skills as you advance lesson by lesson. You can also use the content in each lesson for reference material, returning at any point to refresh your learning skills.</P><P>You will then create a project and start to build a Web Automation workflow to capture information from a web page.                   </P><P><STRONG>Lessons:</STRONG></P><UL><LI><STRONG>Planning, Preparation and Design</STRONG><BR/>In this lesson, we will focus on organizational preparations you need to consider before implementing your robot. We will also take a look at how to choose the correct task to automate.</LI><LI><STRONG>Designing your robot</STRONG><BR/>In this lesson, you will learn how to record and map your chosen tasks so they can be quickly automated.</LI><LI><STRONG>Creating a Project</STRONG><BR/>In this lesson, we will take a look at how to create a Kofax RPA Project. A Project is the first building block of creating any robot.</LI><LI><STRONG>Creating a Web Automation Robot</STRONG><BR/>In this lesson, we will build a Web Automation Robot to load a web page.</LI><LI><STRONG>Creating Types and Adding Variables</STRONG><BR/>In this lesson, we will add complex types and variables to our workflow.</LI><LI><STRONG>Add Steps to a Web Automation Robot</STRONG><BR/>In this lesson, we will add steps to search for a product on a webpage, extract information and store it in a variable.</LI></UL><P> </P><P><STRONG>Product Version(s):</STRONG> 11.0</P></DIV><DIV class=""modal-footer""><BUTTON class=""btn btn-secondary"" data-bs-dismiss=""modal"" type=""button"">Close</BUTTON></DIV></DIV></DIV>",,Web Automation Robot Design,bfb053fd720c5ca7a3fdc21ee846a83616d99f5
8,"<DIV class=""modal-dialog""><DIV class=""modal-content border border-secondary rounded""><DIV class=""modal-header""><H5 class=""modal-title"" id=""exampleModalLabel"">Web Automation Workflow - Branches and For Each Loops</H5><BUTTON aria-label=""Close"" class=""btn-close"" data-bs-dismiss=""modal"" type=""button""/></DIV><DIV class=""modal-body""><P><STRONG>Module Overview:</STRONG></P><P>This module introduces you to the linear and non-linear robot execution. We will look at how to add branches to a workflow and review the order of execution.</P><P>We will also explore some For Each loops and configure these loops to iterate over items on a webpage.</P><P/><P><STRONG><SPAN>Module Objectives:</SPAN></STRONG></P><UL><LI>Add branches to a workflow.</LI><LI>Describe the difference between linear and non-linear robots.</LI><LI>Describe three different For Each loop action steps.</LI><LI>Configure the For Each Tag Path, For Each Tag and For each URL loop steps.</LI></UL><P><STRONG><SPAN>Module Prerequisites:</SPAN></STRONG></P><UL><LI>An understanding of Web Automation workflow.</LI><LI>Be able to navigate Design Studio.</LI><LI>To complete exercises have access to Kofax RPA</LI></UL><P><STRONG><SPAN>Lessons:</SPAN></STRONG></P><UL><LI><STRONG><SPAN>Branches</SPAN></STRONG><SPAN><BR/></SPAN>In this lesson, we will focus on adding branches to a workflow. We will review how robots execute steps in a workflow and discuss a robot&apos;s state.</LI><LI><STRONG><SPAN>For Each loop - Introduction</SPAN></STRONG><BR/>In this lesson, we will look at three For Each Loop action steps and review tag finders. We will also look at a scenario we will use for the remaining lessons of this module.</LI><LI><STRONG><SPAN>For Each loop - For Each Tag Path</SPAN></STRONG><SPAN><BR/></SPAN>In this lesson, we will look at how we can configure the For Each Tag Path action step to iterate over tags.<SPAN>      </SPAN></LI><LI><STRONG><SPAN>For Each loop - For Each Tag </SPAN></STRONG><SPAN><BR/></SPAN>In this lesson, we will look at how we can configure the For Each Tag action step to iterate over tags.</LI><LI><STRONG><SPAN>For Each loop - For Each URL</SPAN></STRONG><SPAN><BR/></SPAN>In this lesson, we will look at how we can configure the For Each URL action step to iterate over IMG elements on a webpage.</LI><LI><STRONG><SPAN>Your Turn</SPAN></STRONG><BR/>In this lesson, it&apos;s your turn to work through For Each loop action step configuration exercises.</LI></UL><P/><P><STRONG>Product Version(s):</STRONG><SPAN> 11.0</SPAN></P></DIV><DIV class=""modal-footer""><BUTTON class=""btn btn-secondary"" data-bs-dismiss=""modal"" type=""button"">Close</BUTTON></DIV></DIV></DIV>",,Web Automation Workflow - Branches and For Each Loops,a9732972e2cc2e6f46e04750be33f7115eb66a3
9,"<DIV class=""modal-dialog""><DIV class=""modal-content border border-secondary rounded""><DIV class=""modal-header""><H5 class=""modal-title"" id=""exampleModalLabel"">The Repeat-Next Loop</H5><BUTTON aria-label=""Close"" class=""btn-close"" data-bs-dismiss=""modal"" type=""button""/></DIV><DIV class=""modal-body""><P>In this module, we will take a look at the Repeat-Next loop and how we can implement it into a workflow to iterate over webpages.</P><P> </P><P><STRONG>Module Objectives:</STRONG></P><UL><LI>Describe the function and features of the Repeat-Next loop.</LI><LI>Add the Repeat-Next loop to a Web Automation workflow.</LI></UL><P><STRONG>Module Prerequisites:</STRONG></P><UL><LI>An understanding of Design Studio.</LI><LI>Completed Kofax RPA - Getting Started</LI><LI>To complete exercises have access to Kofax RPA</LI></UL><P> </P><P><STRONG>Lessons</STRONG>:</P><UL><LI><STRONG>The Repeat Step &amp; Next loop - Overview<BR/></STRONG>In this lesson, you will learn about the Repeat-Next loop and how it can be implemented in a Web Automation workflow.</LI><LI><STRONG>Your Turn<BR/></STRONG>In this lesson, you will practice working with the Repeat-Next loop.</LI></UL><P/><P><STRONG>Product Version(s):</STRONG><SPAN> 11.0</SPAN></P></DIV><DIV class=""modal-footer""><BUTTON class=""btn btn-secondary"" data-bs-dismiss=""modal"" type=""button"">Close</BUTTON></DIV></DIV></DIV>",,The Repeat-Next Loop,9a8b35c372d586fca84daf6bcc11d71cc9e53
10,"<DIV class=""modal-dialog""><DIV class=""modal-content border border-secondary rounded""><DIV class=""modal-header""><H5 class=""modal-title"" id=""exampleModalLabel"">The Try Step</H5><BUTTON aria-label=""Close"" class=""btn-close"" data-bs-dismiss=""modal"" type=""button""/></DIV><DIV class=""modal-body""><P>In this module, we will take a look at the Try Step and how we can implement it into a workflow.</P><P> </P><P><STRONG>Module Objectives:</STRONG></P><UL><LI>Describe the function and features of the Try step.</LI><LI>Describe different error handling options.</LI><LI>Add the Try step to a Web Automation workflow.</LI></UL><P><STRONG>Module Prerequisites:</STRONG></P><UL><LI>An understanding of Design Studio.</LI><LI>Completed Kofax RPA - Getting Started</LI><LI>To complete exercises have access to Kofax RPA</LI></UL><P><STRONG>Lessons:</STRONG></P><UL><LI><STRONG>The Try Step - Overview<BR/></STRONG>In this lesson, you will learn about the Try step and look at how it can be implemented in a Web Automation workflow.</LI><LI><STRONG>Your Turn<BR/></STRONG>In this lesson, you will practice working with the Try step.</LI></UL><P/><P><STRONG>Product Version(s):</STRONG><SPAN> 11.0</SPAN></P></DIV><DIV class=""modal-footer""><BUTTON class=""btn btn-secondary"" data-bs-dismiss=""modal"" type=""button"">Close</BUTTON></DIV></DIV></DIV>",,The Try Step,d268c543313158fdc7b56bb8149374d3ef3595a0
11,"<DIV class=""modal-dialog""><DIV class=""modal-content border border-secondary rounded""><DIV class=""modal-header""><H5 class=""modal-title"" id=""exampleModalLabel"">Development Database</H5><BUTTON aria-label=""Close"" class=""btn-close"" data-bs-dismiss=""modal"" type=""button""/></DIV><DIV class=""modal-body""><P>In this module, we will take a look at the Development Database, including its purpose and how to use it whilst building and developing your workflow. We will also explore some general information about databases and how to map to a production database.</P><P> </P><P><STRONG>Module Objectives:</STRONG></P><UL><LI>Describe the functionality and purpose of the Development Database.</LI><LI>Configure and map to the Development Database in Design Studio</LI><LI>Reconfigure a database mapping in Design Studio.</LI><LI>List configuration steps in Management Studio to configure a database.</LI></UL><P><STRONG>Module Prerequisites:</STRONG></P><UL><LI>An understanding of Design Studio.</LI><LI>Be able to navigate Management Console.</LI><LI>To complete exercises have access to Kofax RPA</LI></UL><P><STRONG>Lessons:</STRONG></P><UL><LI><STRONG>Overview - The Development Database<BR/></STRONG>In this lesson, you will learn what a Development Database is, including its purpose, its benefits and limitations.</LI><LI><STRONG>Configure the Database<BR/></STRONG>In this lesson, you will learn how to map to the Development Database and create a table in which to store data.</LI><LI><STRONG>Map to a Microsoft SQL Database<BR/></STRONG>In this lesson, you will learn how to re-map your workflow to a production database.</LI></UL><P/><P><STRONG>Product Version(s):</STRONG><SPAN> 11.0</SPAN></P></DIV><DIV class=""modal-footer""><BUTTON class=""btn btn-secondary"" data-bs-dismiss=""modal"" type=""button"">Close</BUTTON></DIV></DIV></DIV>",,Development Database,a74fe5107a234e1c222664416c82a335554562c
12,"<DIV class=""modal-dialog""><DIV class=""modal-content border border-secondary rounded""><DIV class=""modal-header""><H5 class=""modal-title"" id=""exampleModalLabel"">Working with Excel</H5><BUTTON aria-label=""Close"" class=""btn-close"" data-bs-dismiss=""modal"" type=""button""/></DIV><DIV class=""modal-body""><P><STRONG>Module Overview:</STRONG></P><P>In this module, you will learn how to move data from an Excel file and store it in the Development Database. </P><P> </P><P><STRONG>Module Objectives:</STRONG></P><UL><LI>Build a workflow to extract data from an Excel spreadsheet.</LI><LI>Configure the Development Database to store information from a variable.</LI><LI>Understand looping in Excel</LI></UL><P><STRONG>Module Prerequisites:</STRONG></P><UL><LI>An understanding of Design Studio.</LI><LI>Completed Kofax RPA  Learning Path - Web Automation Robot Basic Workflow</LI><LI>Have access to Kofax RPA</LI></UL><P><STRONG>Lessons:</STRONG></P><UL><LI><STRONG>Working with Excel - Overview<BR/></STRONG>In this lesson, we will focus on how to move data from an Excel Spreadsheet to a Database.</LI><LI><STRONG>Your Turn<BR/></STRONG>In this lesson, you will build a workflow to extract data from Excel and store it in the Development Database.</LI></UL><P/><P><STRONG>Product Version(s):</STRONG><SPAN> 11.0</SPAN></P></DIV><DIV class=""modal-footer""><BUTTON class=""btn btn-secondary"" data-bs-dismiss=""modal"" type=""button"">Close</BUTTON></DIV></DIV></DIV>",,Working with Excel,58b2dbc13518a3d52a7444630dddc3f32a0d74a
