id,content,url,title,objectkey
25,"<DIV class=""modal-dialog""><DIV class=""modal-content border border-secondary rounded""><DIV class=""modal-header""><H5 class=""modal-title"" id=""exampleModalLabel"">Desktop Automation Service </H5><BUTTON aria-label=""Close"" class=""btn-close"" data-bs-dismiss=""modal"" type=""button""/></DIV><DIV class=""modal-body""><P>In Kofax RPA, you can create Desktop Automation robots that can automate work processes on Windows and java applications on your networked computers. To automate applications on a remote computer, you need to install the Desktop Automation Service on that PC and connect the service to the Management Console.</P><P>In this module, we will look at installing the Desktop Automation Service on remote computers and how devices are mapped to the management console. </P><P/><UL><LI><SPAN><STRONG>Desktop Automation Service</STRONG><BR/>In this lesson, we will look at the Desktop Automation service and the installation procedure.</SPAN></LI><LI><SPAN><STRONG>Desktop Automation Service - Configuration</STRONG><BR/>In this lesson, we will review the steps required to configure the Desktop Automation service to use the Management Console connection or a Single User connection.</SPAN><SPAN><BR/></SPAN></LI><LI><STRONG><SPAN>Build a basic Desktop Automation robot</SPAN></STRONG><BR/>In this lesson, we will build a basic robot which interacts with a remote device.</LI></UL><P><SPAN><STRONG>Prerequisites</STRONG></SPAN><SPAN><BR/></SPAN></P><P><SPAN>This module assumes that you are familiar with the Desktop Automation Robot concepts introduced in the &quot;<EM>Introduction to Desktop Automation</EM>&quot; module.</SPAN></P><P><SPAN/></P><P><SPAN><STRONG>Product Version(s):</STRONG> 11.0</SPAN></P></DIV><DIV class=""modal-footer""><BUTTON class=""btn btn-secondary"" data-bs-dismiss=""modal"" type=""button"">Close</BUTTON></DIV></DIV></DIV>",,Desktop Automation Service,e9d6107a137f58b77ffcfbafa58058965fd4464
31,"<DIV class=""modal-dialog""><DIV class=""modal-content border border-secondary rounded""><DIV class=""modal-header""><H5 class=""modal-title"" id=""exampleModalLabel"">Working with a Custom Project</H5><BUTTON aria-label=""Close"" class=""btn-close"" data-bs-dismiss=""modal"" type=""button""/></DIV><DIV class=""modal-body""><P>Here you will learn how to configure a workflow using a custom project configured and trained to classify and extract information from a submitted electronic document. </P><P/><P><STRONG><SPAN>Module Objectives:</SPAN></STRONG></P><UL><LI><SPAN>Add validation steps to a Document Transformation workflow.</SPAN></LI><LI><SPAN>Configure Callback to send a validated document to an RPA workflow.</SPAN></LI><LI><SPAN>Extract invoice information from electronic invoice documents.</SPAN></LI></UL><P><SPAN><STRONG>Module Prerequisites:</STRONG></SPAN></P><UL><LI><SPAN>An understanding of Design Studio.</SPAN></LI><LI><SPAN>An understanding of web automation robots</SPAN></LI><LI><SPAN>Completed the <STRONG>DTS | </STRONG><STRONG>Document Transformation Service module</STRONG></SPAN></LI><LI><SPAN>Complete the <STRONG>DTS | Working with a Predefined Project</STRONG></SPAN></LI></UL><P><SPAN><STRONG>Lessons:</STRONG></SPAN></P><UL><LI><STRONG><SPAN>Working with a Custom Project</SPAN><SPAN><BR/></SPAN></STRONG><SPAN>In this lesson, we will take a look at Document Transformation workflow we will build to processes electronic invoices.</SPAN></LI><LI><STRONG><SPAN>Preparing the Workflow<BR/></SPAN></STRONG><SPAN>In this lesson, we will build the base structure for the invoice workflow. </SPAN></LI><LI><SPAN><STRONG>Document Transformation<BR/></STRONG></SPAN><SPAN>In this lesson, we will configure our Desktop Automation robot to send input documents to the Document Transformation server. </SPAN></LI><LI><SPAN><STRONG>Validation and Extraction<BR/></STRONG></SPAN><SPAN>In this lesson, we will configure our Desktop Automation robot to check if the transformed document is valid or not.</SPAN></LI><LI><SPAN><STRONG>Dealing with Callback<BR/></STRONG></SPAN><SPAN>In this lesson, we will configure callback so a REST robot URL is sent to the validation server. </SPAN><SPAN><BR/></SPAN></LI><LI><SPAN><STRONG>Your Turn<BR/></STRONG>In this lesson, you will practice working with a Document Transformation workflow.</SPAN></LI></UL><P><SPAN><STRONG/></SPAN></P><P><SPAN><STRONG>Product Version(s):</STRONG> 11.0</SPAN></P></DIV><DIV class=""modal-footer""><BUTTON class=""btn btn-secondary"" data-bs-dismiss=""modal"" type=""button"">Close</BUTTON></DIV></DIV></DIV>",,Working with a Custom Project,9b6547f5e8e46014b7394b699f9f77440f150ba
26,"<DIV class=""modal-dialog""><DIV class=""modal-content border border-secondary rounded""><DIV class=""modal-header""><H5 class=""modal-title"" id=""exampleModalLabel"">Robot File System Concepts</H5><BUTTON aria-label=""Close"" class=""btn-close"" data-bs-dismiss=""modal"" type=""button""/></DIV><DIV class=""modal-body""><P><STRONG>Module overview</STRONG></P><P>This module provides an introduction to the Robot File System (RFS). It introduces general concepts and gives an overview of the architecture. </P><P>The target audience is anyone who wants to know more about the Robot File System and how it can be used in robots. This includes administrators, architects, solution engineers as well as robot developers of any skill level.</P><P><STRONG>Learning objectives</STRONG></P><P>By the end of this module, you will be able to:</P><UL><LI>Understand the main concepts of the Robot File System and illustrate its benefits</LI><LI>Identify the main components that are part of the Robot File System and how they interact together</LI><LI>Understand the different roles and associated privileges that control access to the Robot File System</LI><LI>Understand how the Management Console grants access to a running robot</LI><LI>Provide some examples of how the Robot File System can be used in robots and highlight some limitations</LI></UL></DIV><DIV class=""modal-footer""><BUTTON class=""btn btn-secondary"" data-bs-dismiss=""modal"" type=""button"">Close</BUTTON></DIV></DIV></DIV>",,Robot File System Concepts,ae7efada6ea2ab2eff72e719d2245345e951ab
27,"<DIV class=""modal-dialog""><DIV class=""modal-content border border-secondary rounded""><DIV class=""modal-header""><H5 class=""modal-title"" id=""exampleModalLabel"">Configuring the Robot File System</H5><BUTTON aria-label=""Close"" class=""btn-close"" data-bs-dismiss=""modal"" type=""button""/></DIV><DIV class=""modal-body""><P><STRONG>Overview</STRONG></P><P>This module provides step-by-step instructions on installing the Robot File System application in a Tomcat server.</P><P>It starts with a short introduction highlighting the steps needed to install the Robot File System application and then proceeds with a practical exercise consisting of a video demonstration, details in the text, and an instruction guide that will allow you to follow the step-by-step instructions in your own tempo.</P><P><STRONG>Learning objectives</STRONG></P><P>By the end of this module, you will be:</P><UL><LI>Familiar with the main concepts relevant to installing the Robot File System application on a Tomcat server</LI><LI>Able to install and configure the application yourself</LI></UL></DIV><DIV class=""modal-footer""><BUTTON class=""btn btn-secondary"" data-bs-dismiss=""modal"" type=""button"">Close</BUTTON></DIV></DIV></DIV>",,Configuring the Robot File System,9750531c176bcf505be8183e44bf9a8bcbedaf9
28,"<DIV class=""modal-dialog""><DIV class=""modal-content border border-secondary rounded""><DIV class=""modal-header""><H5 class=""modal-title"" id=""exampleModalLabel"">Using the Robot File System</H5><BUTTON aria-label=""Close"" class=""btn-close"" data-bs-dismiss=""modal"" type=""button""/></DIV><DIV class=""modal-body""><P><STRONG>Overview</STRONG></P><P>This module provides an introduction to using the Robot File System (RFS). It shows how to create a robot that can read and write files to a Robot File System.</P><P>The target audience is anyone who wants to know more about the Robot File System and how it can be used in robots. This includes administrators, architects, solution engineers but is primarily targeted at robot developers of any skill level.</P><P>The module consists of a short introduction followed by a practical lesson that provides a demonstration video, more detailed information in text, and a step-by-step instruction manual so that you can follow along in your own tempo.</P><P/><P><STRONG>Learning objectives</STRONG></P><P>By the end of this module, you will be able to:</P><UL><LI>Understand the main concepts relevant to robots that make use of the Robot File System</LI><LI>Create a robot that reads and writes files on a Robot File System</LI></UL></DIV><DIV class=""modal-footer""><BUTTON class=""btn btn-secondary"" data-bs-dismiss=""modal"" type=""button"">Close</BUTTON></DIV></DIV></DIV>",,Using the Robot File System,6f3d2db051572e2f93e1ca67f33b34308eadeac3
29,"<DIV class=""modal-dialog""><DIV class=""modal-content border border-secondary rounded""><DIV class=""modal-header""><H5 class=""modal-title"" id=""exampleModalLabel"">Document Transformation Service</H5><BUTTON aria-label=""Close"" class=""btn-close"" data-bs-dismiss=""modal"" type=""button""/></DIV><DIV class=""modal-body""><P><STRONG>Module Overview:</STRONG></P><P>Here you will learn how to call the Document Transformation Server from a Desktop Automation step.</P><P> </P><P><STRONG>Module Objectives:</STRONG></P><UL><LI>Describe Document Transformation</LI><LI>Verify the Document Transformation service</LI><LI>List configuration options available in the Document Transformation step</LI></UL><P><STRONG>Module Prerequisites:</STRONG></P><UL><LI>An understanding of Design Studio.</LI><LI>Completed Kofax RPA  Learning Path - Desktop Automation Robot Basic Workflow</LI><LI>Have access to Kofax RPA</LI></UL><P/><P><STRONG>Product Version(s):</STRONG><SPAN> 11.0</SPAN></P></DIV><DIV class=""modal-footer""><BUTTON class=""btn btn-secondary"" data-bs-dismiss=""modal"" type=""button"">Close</BUTTON></DIV></DIV></DIV>",,Document Transformation Service,71323dc8978afd568cc696a9df9187beb7ae9e7
30,"<DIV class=""modal-dialog""><DIV class=""modal-content border border-secondary rounded""><DIV class=""modal-header""><H5 class=""modal-title"" id=""exampleModalLabel"">Working with a Predefined Project</H5><BUTTON aria-label=""Close"" class=""btn-close"" data-bs-dismiss=""modal"" type=""button""/></DIV><DIV class=""modal-body""><P>Here you will learn how to configure a workflow using the Sentiment predefined project to return a sentiment value for a submitted document.</P><P/><P><STRONG><SPAN>Module Objectives:</SPAN></STRONG></P><UL><LI><SPAN>Build a workflow using the Sentiment predefined project</SPAN></LI><LI><SPAN>Extract a sentiment value from a document</SPAN></LI><LI><SPAN>Return a Sentiment value to a Web Automation workflow</SPAN></LI></UL><P><SPAN><STRONG>Module Prerequisites:</STRONG></SPAN></P><UL><LI><SPAN>An understanding of Design Studio.</SPAN></LI><LI><SPAN>Completed the <STRONG>DTS | </STRONG><STRONG>Document Transformation Service module</STRONG></SPAN></LI></UL><P><SPAN><STRONG>Lessons:</STRONG></SPAN></P><UL><LI><STRONG><SPAN>Working with the Sentiment Project</SPAN><SPAN><BR/></SPAN></STRONG><SPAN>In this lesson, you will learn about the Document Transformation and look at how it can be implemented in a workflow.</SPAN></LI><LI><SPAN><STRONG>Your Turn<BR/></STRONG>In this lesson, you will practice working with a Document Transformation workflow.</SPAN></LI></UL><P><SPAN/></P><P><SPAN><STRONG>Product Version(s):</STRONG> 11.0</SPAN></P></DIV><DIV class=""modal-footer""><BUTTON class=""btn btn-secondary"" data-bs-dismiss=""modal"" type=""button"">Close</BUTTON></DIV></DIV></DIV>",,Working with a Predefined Project,4599255f7647e67a2e5d92763cfd33bec91d5a7
32,"<DIV class=""modal-dialog""><DIV class=""modal-content border border-secondary rounded""><DIV class=""modal-header""><H5 class=""modal-title"" id=""exampleModalLabel"">Document Transformation and Validation</H5><BUTTON aria-label=""Close"" class=""btn-close"" data-bs-dismiss=""modal"" type=""button""/></DIV><DIV class=""modal-body""><P><STRONG>Module Overview:</STRONG></P><P>In this module, we build a robot that extracts information from scanned documents and integrates it with a validation server.<BR/>We explore a document transformation scenario that involves building a robot that can extract data from a scanned survey form and is able to forward documents to a validation server if the classification or extraction confidence is too low and let a person confirm or correct the results.</P><P><STRONG>Module Prerequisites:</STRONG></P><P>This module involves configuration and workflow steps that go beyond a straightforward Document Transformation step.</P><P>If you need a refresher on the basics of using a Document Transformation step with a custom transformation project, you are highly encouraged to have a look a the following learning cloud module:</P><P><A href=""/learningcloud/course:221/module:3605/screen:CM"" rel=""noopener noreferrer"" target=""_blank""><STRONG>DTS | Document Transformation Service</STRONG></A></P><P> </P><P><STRONG>Module Objectives:</STRONG></P><P>After completing this module you should be able to</P><UL><LI>identify the components of a Document Transformation solution that may involve validation</LI><LI>understand the steps in an RPA workflow that perform document transformation and validation</LI><LI>build a robot that implements a workflow that involves document transformation and validation</LI></UL><P> </P></DIV><DIV class=""modal-footer""><BUTTON class=""btn btn-secondary"" data-bs-dismiss=""modal"" type=""button"">Close</BUTTON></DIV></DIV></DIV>",,Document Transformation and Validation,976249deeb438f6959b910d7e9fb88af4c629dd4
33,"<DIV class=""modal-dialog""><DIV class=""modal-content border border-secondary rounded""><DIV class=""modal-header""><H5 class=""modal-title"" id=""exampleModalLabel"">Attended Automation</H5><BUTTON aria-label=""Close"" class=""btn-close"" data-bs-dismiss=""modal"" type=""button""/></DIV><DIV class=""modal-body""><P><STRONG>Module Overview:</STRONG></P><P>Attended automation is a way to automate remote computers by creating a robot that reacts to an event on that remote device, such as the opening or closing of an application. In this module, we will explore attended automation and build a basic attended automation robot.</P><P> </P><P><STRONG>Module Objectives:</STRONG></P><UL><LI>Define attended automation</LI><LI>Build a basic attended automation workflow</LI><LI>Upload an attended automation robot to the management console</LI></UL><P><STRONG>Module  Prerequisites</STRONG></P><P>It is recommended you complete the following learning path:</P><UL><LI>Robot Developer | Desktop Automation Robot Basic Workflow</LI></UL></DIV><DIV class=""modal-footer""><BUTTON class=""btn btn-secondary"" data-bs-dismiss=""modal"" type=""button"">Close</BUTTON></DIV></DIV></DIV>",,Attended Automation,c2aa31409b3884396f8c131577c10369d5ec324
34,"<DIV class=""modal-dialog""><DIV class=""modal-content border border-secondary rounded""><DIV class=""modal-header""><H5 class=""modal-title"" id=""exampleModalLabel"">RPA 11 | Using Custom Actions</H5><BUTTON aria-label=""Close"" class=""btn-close"" data-bs-dismiss=""modal"" type=""button""/></DIV><DIV class=""modal-body""><P><STRONG>Module Overview:</STRONG></P><P>This module introduces Customs Actions and the practical lessons focus on developing a robot that uses a Custom Action and on making sure the robot can run on a RoboServer. It is aimed at anybody who wants to use Custom Actions or simply wants to learn the concepts.</P><P><STRONG>Module Objectives:</STRONG></P><P>After completing this module you should be able to</P><UL><LI>understand what Custom Actions are and what their relation is to connector packages</LI><LI>import  connector packages in an RPA project</LI><LI>use custom actions</LI><LI>make sure a robot with a Custom Action can be run on a RoboServer.</LI></UL><P><STRONG>Module Prerequisites:</STRONG></P><P>The practical lessons focus on using Custom Actions that are defined in a connector package. This package is provided for download in the resources section. You do not need any programming skills to use a connector package. You can always use Custom Actions while developing robots in the Design Studio, but to run a robot with a Custom Action on a RoboServer, you may need to have access to the RoboServer itself to enable this feature. Details are provided in the last lesson.</P></DIV><DIV class=""modal-footer""><BUTTON class=""btn btn-secondary"" data-bs-dismiss=""modal"" type=""button"">Close</BUTTON></DIV></DIV></DIV>",,RPA 11 | Using Custom Actions,b78f7d7b1320413ab2576d1ec4d86744bc6eb037
35,"<DIV class=""modal-dialog""><DIV class=""modal-content border border-secondary rounded""><DIV class=""modal-header""><H5 class=""modal-title"" id=""exampleModalLabel"">RPA 11 | Developing Custom Actions</H5><BUTTON aria-label=""Close"" class=""btn-close"" data-bs-dismiss=""modal"" type=""button""/></DIV><DIV class=""modal-body""><P><STRONG>Module Overview:</STRONG></P><P>A Custom Action can then be used by any robot developer in the same way other steps can be used, regardless of their skill level. In this module, we have two practical lessons that walk you step by step through creating new Custom Actions.</P><P><STRONG>Module Objectives:</STRONG></P><P>After completing this module you should be able to</P><UL><LI>extend an existing connector package with an action written in Node.js</LI><LI>create a new connector package with actions written in Python</LI><LI>understand and change the manifest of a connector package</LI><LI>identify the specific prerequisites for Python-based custom actions</LI></UL><P><STRONG>Module Prerequisites:</STRONG></P><P>In the lessons, new Custom Actions are developed in Node.js and Python, but code examples are provided that you can use directly, even if you do not have experience in using these languages.\nSome programming skills are of course required but if your experience is with another programming language you&apos;ll probably have no problems following these lessons.</P></DIV><DIV class=""modal-footer""><BUTTON class=""btn btn-secondary"" data-bs-dismiss=""modal"" type=""button"">Close</BUTTON></DIV></DIV></DIV>",,RPA 11 | Developing Custom Actions,fda595f106899ea27c798ec60fac65de76f52
36,"<DIV class=""modal-dialog""><DIV class=""modal-content border border-secondary rounded""><DIV class=""modal-header""><H5 class=""modal-title"" id=""exampleModalLabel"">RPA | Best practices</H5><BUTTON aria-label=""Close"" class=""btn-close"" data-bs-dismiss=""modal"" type=""button""/></DIV><DIV class=""modal-body""><P><STRONG>Module Overview:</STRONG></P><P>Building robots in Kofax RPA is fairly easy to learn, but as soon as a robot is needed that solves a more complex problem, it may become harder to design one that meets requirements, functions reliably, is easy to understand and maintain, and offers quick returns in the time invested in its development.</P><P>This module addresses these areas by offering guidance in the form of best practices and tips.</P><P><STRONG>Module Objectives:</STRONG></P><P>After completing this module you should know the most common best practices in the following areas:</P><UL><LI>Documentation</LI><LI>Solution Design</LI><LI>Patterns and anti-patterns in robots</LI><LI/></UL><UL><LI>Desktop Automation specific design</LI><LI>Debugging and testing</LI></UL><P><STRONG>Module Prerequisites:</STRONG></P><P>There are no specific prerequisites for this module, and although most examples and videos use version 11.2, best practices apply equally to all versions. In those instances where we use a feature that is only available in a newer version, this will be clearly indicated.</P><P> </P></DIV><DIV class=""modal-footer""><BUTTON class=""btn btn-secondary"" data-bs-dismiss=""modal"" type=""button"">Close</BUTTON></DIV></DIV></DIV>",,RPA | Best practices,3de3e64d3ce20b7212f257c5f133e2ec4d70e3
37,"<DIV class=""modal-dialog""><DIV class=""modal-content border border-secondary rounded""><DIV class=""modal-header""><H5 class=""modal-title"" id=""exampleModalLabel"">RPA | Running Robots using the API</H5><BUTTON aria-label=""Close"" class=""btn-close"" data-bs-dismiss=""modal"" type=""button""/></DIV><DIV class=""modal-body""><P><SPAN style=""text-decoration: underline;""><STRONG>Module Overview:</STRONG></SPAN></P><P>In this module, we introduce the Application Programming Interfaces (APIs) provided with Kofax RPA and show some working examples of .Net applications written in C#.</P><P>The programs that we present are meant as a starting point for programmers who wish to run robots directly from their application.</P><P>We show examples that use the .Net API as well as an example that uses the Kofax RPA REST API, and although this module is not a programming tutorial, we do illustrate the available features in the APIs by discussing the example code.</P><P><SPAN style=""text-decoration: underline;""><STRONG>Module Objectives:</STRONG></SPAN></P><P>After completing this module you should be able to:</P><UL><LI>Run a robot from a C# application and retrieve any results</LI><LI>Queue a robot from a C# application and process any results asynchronously</LI><LI>Create a C# application that uses the tasks REST API to queue robots and poll for results</LI><LI>Understand the differences between the functionality available in the different APIs</LI></UL><P><SPAN style=""text-decoration: underline;""><STRONG>Prerequisites:</STRONG></SPAN></P><UL><LI>RPA version 11.2.0.5  or newer.</LI><LI>Basic programming knowledge</LI></UL></DIV><DIV class=""modal-footer""><BUTTON class=""btn btn-secondary"" data-bs-dismiss=""modal"" type=""button"">Close</BUTTON></DIV></DIV></DIV>",,RPA | Running Robots using the API,2b15ab4ef514c6e8146ab5bdc19abd0451f9cb5
